CNAE,n_ocup_pond,renda_total_pond,n_empregador_pond,renda_empregador_pond,n_conta_propria_pond,renda_conta_propria_pond,Renda Média_Total,Renda Média_empregador,Renda Média_conta_propria,Trimestre
90000.0,2983.8228472,0.0,0.0,0.0,2455.71345318,0.0,0.0,,0.0,1T2021
92000.0,3353.23678971,0.0,0.0,0.0,1013.85550618,0.0,0.0,,0.0,1T2021
93011.0,3085.57557294,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
93012.0,11559.135814770001,0.0,0.0,0.0,1254.7825926,0.0,0.0,,0.0,1T2021
94010.0,3527.2232016899998,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
94020.0,1097.4731221,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
94091.0,8654.120717329999,0.0,0.0,0.0,5656.513769739999,0.0,0.0,,0.0,1T2021
94099.0,530.89916792,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
95010.0,8059.7787170699985,0.0,0.0,0.0,5204.08710125,0.0,0.0,,0.0,1T2021
95030.0,22156.300469150003,0.0,0.0,0.0,12915.39798858,0.0,0.0,,0.0,1T2021
96010.0,2721.07365663,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
96020.0,89219.108118,0.0,5158.15526945,0.0,77405.42321427,0.0,0.0,0.0,0.0,1T2021
96030.0,8203.45991255,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
96090.0,6660.325332189998,0.0,0.0,0.0,4081.3271175200002,0.0,0.0,,0.0,1T2021
97000.0,161689.86501217,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
0.0,2075.76454754,0.0,0.0,0.0,825.16316684,0.0,0.0,,0.0,2T2021
1102.0,51243.51217409999,158606.73066,0.0,0.0,37463.588273090005,158606.73066,3.095157297593755,,4.233623578815775,2T2021
1105.0,31631.34980009,0.0,0.0,0.0,4225.70826198,0.0,0.0,,0.0,2T2021
1108.0,37927.78399886999,0.0,0.0,0.0,28390.862650629995,0.0,0.0,,0.0,2T2021
1109.0,78508.94300291,978388.4828659999,1735.24599734,0.0,51746.619326980006,978388.4828659999,12.462127821918772,0.0,18.907292796920572,2T2021
1110.0,23506.46383593,0.0,0.0,0.0,14203.069240509998,0.0,0.0,,0.0,2T2021
1111.0,3343.0678755500003,0.0,0.0,0.0,2788.53203475,0.0,0.0,,0.0,2T2021
1115.0,6539.3972484099995,0.0,0.0,0.0,3044.88541876,0.0,0.0,,0.0,2T2021
1116.0,9436.588870799998,0.0,0.0,0.0,5535.903104609999,0.0,0.0,,0.0,2T2021
1117.0,15837.84745777,0.0,0.0,0.0,2984.7024175300007,0.0,0.0,,0.0,2T2021
1119.0,20518.64188406,0.0,0.0,0.0,15589.751895249998,0.0,0.0,,0.0,2T2021
1201.0,20568.597307999997,0.0,0.0,0.0,8783.32056047,0.0,0.0,,0.0,2T2021
1203.0,8538.48904711,0.0,0.0,0.0,4685.34819425,0.0,0.0,,0.0,2T2021
1204.0,442.80863224,0.0,0.0,0.0,442.80863224,0.0,0.0,,0.0,2T2021
1205.0,6958.190266660001,0.0,0.0,0.0,630.72653605,0.0,0.0,,0.0,2T2021
1401.0,1202.91154916,0.0,0.0,0.0,860.30188377,0.0,0.0,,0.0,2T2021
1402.0,1124.89620145,0.0,0.0,0.0,1124.89620145,0.0,0.0,,0.0,2T2021
1999.0,900.99310542,0.0,0.0,0.0,297.64846215,0.0,0.0,,0.0,2T2021
2000.0,2532.63357314,0.0,0.0,0.0,153.27578993,0.0,0.0,,0.0,2T2021
3001.0,4991.47731285,0.0,0.0,0.0,4736.80851631,0.0,0.0,,0.0,2T2021
3002.0,4860.962721559999,0.0,0.0,0.0,3252.84572612,0.0,0.0,,0.0,2T2021
6000.0,1208.66845394,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
7002.0,1937.78315194,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
8001.0,5089.35579201,0.0,0.0,0.0,1034.54958617,0.0,0.0,,0.0,2T2021
10010.0,15439.24613383,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
10030.0,7954.4540632200005,0.0,0.0,0.0,5508.563019790001,0.0,0.0,,0.0,2T2021
10091.0,6081.25261709,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
10092.0,10914.900862810002,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
10099.0,13357.38492508,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
11000.0,6433.18182706,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
13001.0,3702.36557187,0.0,0.0,0.0,331.61533561,0.0,0.0,,0.0,2T2021
13002.0,17472.72298447,0.0,0.0,0.0,7762.6724435900005,0.0,0.0,,0.0,2T2021
14001.0,105449.34320392998,0.0,1640.16742116,0.0,36602.662067740006,0.0,0.0,0.0,0.0,2T2021
14002.0,18744.476558959996,0.0,878.33254037,0.0,15590.39805876,0.0,0.0,0.0,0.0,2T2021
15020.0,1783.9035910900002,0.0,0.0,0.0,961.8141123600001,0.0,0.0,,0.0,2T2021
16001.0,276.41341944,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
16002.0,8023.009062070001,0.0,0.0,0.0,4182.543216800001,0.0,0.0,,0.0,2T2021
17001.0,298.13584032,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
17002.0,7268.53057443,0.0,0.0,0.0,691.691348,0.0,0.0,,0.0,2T2021
18000.0,5348.586288120001,0.0,0.0,0.0,1009.94318746,0.0,0.0,,0.0,2T2021
19020.0,400.79386851000004,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
20010.0,361.5873777,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
20020.0,5756.358744610001,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
21000.0,1955.0762491300002,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
22020.0,7831.09621411,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
23010.0,671.00256915,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
23091.0,9292.39157555,0.0,0.0,0.0,1013.43516174,0.0,0.0,,0.0,2T2021
23099.0,6979.783290110001,0.0,0.0,0.0,190.31665467,0.0,0.0,,0.0,2T2021
24001.0,1180.26303568,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
25001.0,15617.846983720003,0.0,0.0,0.0,6535.222816449999,0.0,0.0,,0.0,2T2021
25002.0,3554.3676660300002,0.0,0.0,0.0,2429.7133977900003,0.0,0.0,,0.0,2T2021
26041.0,838.30462277,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
27090.0,8625.88916269,0.0,0.0,0.0,282.84947844,0.0,0.0,,0.0,2T2021
28000.0,3807.23249553,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
29001.0,14246.059848389998,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
29002.0,1745.24679827,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
30010.0,395.7643154,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
31000.0,21725.57762786,0.0,0.0,0.0,9606.441491519998,0.0,0.0,,0.0,2T2021
32009.0,1313.2830684,0.0,0.0,0.0,863.2079819999999,0.0,0.0,,0.0,2T2021
33001.0,6198.96186665,0.0,0.0,0.0,1484.64127448,0.0,0.0,,0.0,2T2021
33002.0,512.3173487,0.0,0.0,0.0,512.3173487,0.0,0.0,,0.0,2T2021
35010.0,7667.60193619,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
36000.0,2633.6747408600004,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
38000.0,3370.31821685,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
39000.0,403.33582595,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
41000.0,181549.38199245,0.0,0.0,0.0,109014.16528269,0.0,0.0,,0.0,2T2021
42000.0,18476.557673,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
43000.0,61036.713975490005,0.0,554.40832555,0.0,36480.47515682,0.0,0.0,0.0,0.0,2T2021
45010.0,4420.06532287,0.0,0.0,0.0,548.89067032,0.0,0.0,,0.0,2T2021
45020.0,63616.67731095,0.0,2204.92623093,0.0,23761.537123119997,0.0,0.0,0.0,0.0,2T2021
45030.0,6407.788972209999,0.0,0.0,0.0,198.65664606,0.0,0.0,,0.0,2T2021
45040.0,11893.612503270002,0.0,0.0,0.0,4782.39770627,0.0,0.0,,0.0,2T2021
48010.0,663.57169072,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
48020.0,3201.4349488199996,0.0,0.0,0.0,941.75110074,0.0,0.0,,0.0,2T2021
48030.0,139609.48340603,0.0,4178.94588224,0.0,50167.106607960006,0.0,0.0,0.0,0.0,2T2021
48041.0,4827.1482027,0.0,0.0,0.0,2254.9364138,0.0,0.0,,0.0,2T2021
48042.0,67464.53333796,0.0,688.48337539,0.0,35079.76608109,0.0,0.0,0.0,0.0,2T2021
48050.0,34759.42562920001,0.0,419.86192419,0.0,1885.57587545,0.0,0.0,0.0,0.0,2T2021
48060.0,18624.07806417,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
48071.0,69933.60005993998,0.0,1649.7301745,0.0,38582.188782000005,0.0,0.0,0.0,0.0,2T2021
48072.0,1161.07536553,0.0,0.0,0.0,749.674046,0.0,0.0,,0.0,2T2021
48073.0,30475.20318015,0.0,166.17333505,0.0,4185.3747307,0.0,0.0,0.0,0.0,2T2021
48074.0,3824.5437574200005,0.0,819.50188866,0.0,1207.5563577799999,0.0,0.0,0.0,0.0,2T2021
48075.0,5387.9010842,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
48076.0,13835.655059439998,0.0,0.0,0.0,3151.36774845,0.0,0.0,,0.0,2T2021
48078.0,7383.21695397,0.0,0.0,0.0,5419.44877507,0.0,0.0,,0.0,2T2021
48079.0,30282.050601540006,0.0,1520.19433211,0.0,12113.96354972,0.0,0.0,0.0,0.0,2T2021
48080.0,60440.16253173,0.0,1074.06939167,0.0,179.69889196,0.0,0.0,0.0,0.0,2T2021
48090.0,8156.18558292,0.0,0.0,0.0,430.63441963,0.0,0.0,,0.0,2T2021
48100.0,43834.15655769,0.0,263.82846582,0.0,40732.766708749994,0.0,0.0,0.0,0.0,2T2021
49010.0,1986.4549767900003,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
49030.0,88030.05908137001,0.0,0.0,0.0,71729.68829141,0.0,0.0,,0.0,2T2021
49040.0,44342.6702051,0.0,1029.25819961,0.0,14624.078068749997,0.0,0.0,0.0,0.0,2T2021
51000.0,1369.10644793,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
52010.0,10985.94577563,0.0,0.0,0.0,10077.84637861,0.0,0.0,,0.0,2T2021
52020.0,5185.457501450001,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
53001.0,3395.0718790499996,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
53002.0,16720.8512497,0.0,0.0,0.0,15910.924672639998,0.0,0.0,,0.0,2T2021
55000.0,21820.162451579996,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
56011.0,114096.96279163001,0.0,3324.10592854,0.0,35273.79621664,0.0,0.0,0.0,0.0,2T2021
56012.0,38511.12597942,0.0,0.0,0.0,30339.22590686,0.0,0.0,,0.0,2T2021
56020.0,34594.1789422,0.0,0.0,0.0,32693.060703119998,0.0,0.0,,0.0,2T2021
60002.0,989.02846299,0.0,0.0,0.0,709.99979487,0.0,0.0,,0.0,2T2021
61000.0,12468.341097199998,0.0,689.71922567,0.0,841.95480228,0.0,0.0,0.0,0.0,2T2021
62000.0,16012.20657969,0.0,0.0,0.0,3501.93847168,0.0,0.0,,0.0,2T2021
63000.0,1509.80734699,0.0,0.0,0.0,747.04765173,0.0,0.0,,0.0,2T2021
64000.0,24264.46056045,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
65000.0,3364.17317466,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
66001.0,384.74689146,0.0,0.0,0.0,0.0,0.0,0.0,,,2T2021
66002.0,6008.67540913,0.0,0.0,0.0,2161.79004238,0.0,0.0,,0.0,2T2021
68000.0,20997.58973853,0.0,0.0,0.0,5830.088036259999,0.0,0.0,,0.0,2T2021
